-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       Problem   |   Analyse(s):  %   metis       tree      count        sn     pattern     relind  |  Factorise(s):  % prepare        ------- assembly -------       dense |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         25fv47  |       2.7e-03       84.0        5.3        1.2        4.9        0.9        3.8  |       4.8e-04        3.7        4.7       25.0       11.4       54.1  |  
        80bau3b  |       5.7e-03       88.4        3.2        1.0        4.2        0.6        2.6  |       9.2e-04        7.0        4.7       20.7        7.8       58.1  |  
       adlittle  |       2.8e-04       89.8        3.2        0.9        4.1        0.4        1.6  |       2.6e-05        3.6        3.5        0.2        0.2       91.6  |  
          afiro  |       4.3e-05       83.4        6.3        1.4        6.3        1.0        1.3  |       2.7e-06       10.9        4.7        0.0        1.6       65.6  |  
            agg  |       3.4e-04       75.4        8.4        2.2        8.1        1.1        4.7  |       6.5e-05        3.2        6.9        1.3        4.5       82.8  |  
           agg2  |       6.9e-04       75.3        9.4        1.8        7.9        1.3        4.2  |       1.4e-04        4.4        7.7        5.2        9.8       71.3  |  
           agg3  |       7.0e-04       75.6        9.3        1.8        7.9        1.3        4.1  |       1.4e-04        4.9        7.3        5.8       10.0       70.2  |  
          bandm  |       4.0e-04       73.4        9.3        2.1        8.9        1.4        4.8  |       8.2e-05        2.8        7.3        5.0        8.1       75.5  |  
       beaconfd  |       3.9e-05       79.6        7.1        1.9        8.1        1.2        1.6  |       3.0e-06       11.3        5.6        2.8        2.8       63.4  |  
          blend  |       1.3e-04       81.2        7.2        1.9        6.1        1.0        2.5  |       2.6e-05        3.0        5.5        0.2        0.2       90.2  |  
           bnl1  |       1.5e-03       84.2        4.9        1.4        5.3        0.9        3.4  |       2.8e-04        3.6        4.4       18.0       11.1       61.5  |  
           bnl2  |       4.4e-03       87.2        3.8        1.0        3.8        0.7        3.5  |       1.2e-03        6.8        2.3       24.5        8.8       57.0  |  
        boeing1  |       7.7e-04       78.5        7.2        1.8        7.4        1.0        4.1  |       1.2e-04        4.0        7.8        4.1        6.6       75.5  |  
        boeing2  |       3.2e-04       78.7        7.0        2.1        7.3        0.9        4.0  |       5.0e-05        2.1        5.7        1.0        4.3       85.6  |  
         bore3d  |       8.1e-05       80.0        7.6        1.8        7.2        1.1        1.9  |       4.2e-06       10.0       15.0        0.0        0.0       68.0  |  
         brandy  |       3.3e-04       80.8        7.2        1.6        6.5        0.9        3.0  |       4.3e-05        2.5        7.4        0.7        2.5       85.6  |  
          capri  |       4.7e-04       80.0        7.1        1.5        6.8        0.9        3.5  |       7.3e-05        2.4        7.4        6.1        6.8       76.0  |  
          cycle  |       2.8e-03       80.3        7.1        1.6        6.6        1.0        3.4  |       4.2e-04        6.3        8.6        6.9       11.3       65.6  |  
         czprob  |       7.5e-04       75.5        4.6        1.3       13.4        0.7        4.4  |       2.5e-04        6.7        4.3        6.3        5.2       65.5  |  
         d2q06c  |       6.6e-03       83.2        5.9        1.2        4.7        1.0        4.0  |       1.3e-03        3.5        4.1       26.4       14.0       51.0  |  
         d6cube  |       2.9e-03       86.3        4.7        0.8        3.1        0.6        4.5  |       6.1e-04        8.8        3.8       17.2       14.5       55.4  |  
         degen2  |       1.6e-03       80.6        6.4        1.4        6.1        1.1        4.5  |       5.0e-04        9.7        3.3       18.6        4.8       62.7  |  
         degen3  |       9.3e-03       82.2        6.7        1.0        5.2        1.1        3.8  |       3.5e-03        5.6        3.0       27.6        4.0       59.4  |  
         dfl001  |       2.1e-02       86.9        3.2        0.9        2.5        1.1        5.5  |       2.4e-02        2.6        0.4       42.5        5.8       48.5  |  
           e226  |       3.4e-04       74.0        9.6        2.2        8.3        1.3        4.6  |       9.1e-05        3.2        5.8        0.6        4.5       85.3  |  
       etamacro  |       9.8e-04       84.4        5.1        1.4        4.5        0.9        3.7  |       2.3e-04        6.9        3.7        7.6       11.5       69.4  |  
       fffff800  |       7.3e-04       75.0        9.1        1.9        8.1        1.4        4.4  |       1.5e-04        3.5        7.7        8.9       12.6       65.0  |  
         finnis  |       9.0e-04       84.3        4.8        1.6        5.7        0.8        2.9  |       1.2e-04        3.5        5.5        9.8        7.4       71.1  |  
          fit1d  |       5.6e-05       76.0       10.2        2.2        7.8        1.4        2.1  |       5.9e-06        4.3       14.2        0.7        0.7       73.0  |  
          fit1p  |       4.8e-03       24.5       38.0        2.4       26.3        3.6        5.2  |       1.1e-03       15.8       21.6        0.0        0.0       62.5  |  
          fit2d  |       5.3e-05       72.9       12.1        2.8        8.0        1.7        2.3  |       6.0e-06        5.5       12.4        0.7        0.0       77.9  |  
          fit2p  |       1.3e-01       23.6       38.7        2.0       27.7        3.1        4.9  |       6.1e-02        9.8        8.3        0.0        0.0       81.9  |  
        forplan  |       5.6e-04       87.8        4.6        1.0        4.0        0.6        2.0  |       7.3e-05        2.4        4.5        0.4        1.1       90.7  |  
         ganges  |       5.2e-04       65.8       13.3        2.9       11.7        1.7        4.6  |       1.5e-04        3.7        8.2        1.1        1.7       83.0  |  
       gfrd-pnc  |       4.0e-04       76.0        6.5        2.3       10.8        1.1        3.2  |       1.1e-04        3.9        2.4        1.8        2.3       87.5  |  
       greenbea  |       4.4e-03       84.3        5.7        1.2        5.4        0.8        2.6  |       4.8e-04        7.1        8.7        7.9       11.4       63.1  |  
       greenbeb  |       4.1e-03       83.2        6.1        1.3        5.9        0.8        2.7  |       4.2e-04        6.0        9.4        7.1       11.1       64.5  |  
         grow15  |       6.4e-04       81.0        6.9        1.6        5.9        1.0        3.5  |       1.4e-04        4.5        5.5        0.7        4.5       83.2  |  
         grow22  |       9.9e-04       82.6        6.3        1.5        5.6        0.9        3.1  |       1.9e-04       11.1        6.0        1.5        5.6       74.3  |  
          grow7  |       2.5e-04       75.5        8.8        2.1        8.1        1.3        4.2  |       6.4e-05        2.7        5.7        0.6        2.0       87.9  |  
         israel  |       4.6e-04       49.7       24.4        2.5       16.7        2.6        4.2  |       1.0e-04        2.8       15.3        0.5        4.3       76.5  |  
            kb2  |       5.5e-05       63.7       16.1        3.1       11.5        2.0        3.4  |       2.5e-05        2.3        5.8        0.0        0.2       90.3  |  
          lotfi  |       3.8e-04       69.5        8.6        1.3        5.6        0.6       14.3  |       5.8e-05        2.9        4.4        0.7        1.7       88.9  |  
       maros-r7  |       2.5e-02       83.7        6.4        0.6        4.3        0.8        4.2  |       7.4e-03        5.8        3.3       22.0        9.8       59.0  |  
          maros  |       1.3e-03       80.0        6.9        1.5        6.6        1.0        3.9  |       2.3e-04        4.3        7.3        9.8        6.9       69.9  |  
        modszk1  |       1.2e-03       82.0        6.0        1.5        6.0        0.9        3.7  |       1.9e-04        5.1        7.0        7.8        4.9       72.7  |  
           nesm  |       1.6e-03       83.7        5.0        1.5        5.0        1.0        3.9  |       3.8e-04        5.4        3.7       15.9       13.9       60.0  |  
         perold  |       2.0e-03       85.9        4.5        1.2        4.2        0.8        3.4  |       3.9e-04        4.8        4.1       14.0       18.4       57.8  |  
       pilot.ja  |       3.9e-03       87.3        4.2        0.9        3.9        0.7        3.1  |       7.8e-04        4.3        3.4       28.2        7.4       56.1  |  
          pilot  |       1.1e-02       85.3        5.3        0.7        3.9        0.8        3.9  |       4.3e-03        3.3        2.1       30.2        4.4       59.7  |  
       pilot.we  |       2.0e-03       86.5        4.2        1.3        4.4        0.7        2.9  |       3.6e-04        5.8        4.1       10.1       12.5       66.2  |  
         pilot4  |       1.2e-03       81.6        6.6        1.4        5.9        0.9        3.6  |       2.0e-04        3.6        7.0        8.1        9.8       70.5  |  
        pilot87  |       2.0e-02       83.0        6.0        0.8        4.7        0.8        4.7  |       8.1e-03        2.4        2.2       33.6        4.8       56.8  |  
       pilotnov  |       3.4e-03       86.4        4.4        1.0        3.8        0.8        3.6  |       8.6e-04        8.4        2.8       24.4        9.4       54.4  |  
